Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U7         SOIC-6             2289.37mil    669.291mil    2289.37mil    669.291mil    2239.37mil    551.181mil  T         90.00 NPN 3.75KV     
U8         SOIC-6            2820.866mil    669.291mil   2820.866mil    669.291mil   2770.866mil    551.181mil  T         90.00 NPN 3.75KV     
U9         SOIC-6            3354.331mil    669.291mil   3354.331mil    669.291mil   3304.331mil    551.181mil  T         90.00 NPN 3.75KV     
U10        SOIC-6             3881.89mil    669.291mil    3881.89mil    669.291mil    3831.89mil    551.181mil  T         90.00 NPN 3.75KV     
U11        SOIC-6            4411.417mil    669.291mil   4411.417mil    669.291mil   4361.417mil    551.181mil  T         90.00 NPN 3.75KV     
U12        SOIC-6             4946.85mil    669.291mil    4946.85mil    669.291mil    4896.85mil    551.181mil  T         90.00 NPN 3.75KV     
XTAL1      XTAL_2SMD         1838.583mil   2793.307mil   1838.583mil   2793.307mil   1838.583mil   2842.519mil  T        270.00 32.768KHZ      
C5         CAP_CER_0603      1007.874mil   3082.677mil   1007.874mil   3082.677mil   1007.874mil   3106.299mil  T        270.00 1uF            
C22        CAP_CER_0603      2454.724mil   2035.433mil   2454.724mil   2035.433mil   2454.724mil   2059.055mil  T        270.00 1uF            
JP8        HDR_MALE_1X3_2.54MM   2985.827mil   1275.591mil   2885.827mil   1275.591mil   2885.827mil   1275.591mil  T         90.00 HDR_1X3_2.54   
R73        RES_0805          4311.024mil   2395.669mil   4311.024mil   2395.669mil   4311.024mil   2358.268mil  T         90.00 0              
R74        RES_0805          3275.591mil   3102.362mil   3275.591mil   3102.362mil   3275.591mil   3064.961mil  T         90.00 54.9           
R75        RES_0805           3039.37mil   1145.669mil    3039.37mil   1145.669mil   3001.969mil   1145.669mil  T        360.00 0 1/8W         
R76        RES_0805          3389.764mil   3100.394mil   3389.764mil   3100.394mil   3389.764mil   3062.992mil  T         90.00 54.9           
JP9        HDR_FEMALE_1X4_2.54MM   4016.142mil   1370.079mil   3866.142mil   1370.079mil   3866.142mil   1370.079mil  T         90.00 HDR FEMALE 1X4 2.54MM
JP10       HDR_FEMALE_1X4_2.54MM   4016.142mil   1479.527mil   3866.142mil   1479.527mil   3866.142mil   1479.527mil  T         90.00 HDR FEMALE 1X4 2.54MM
Q10        SOT-23_(TO-236)    377.953mil    840.551mil    377.953mil    840.551mil    377.953mil    801.181mil  T        180.00 PNP            
C2         CAP_CER_0805      1582.677mil   3582.677mil   1582.677mil   3582.677mil   1582.677mil   3545.276mil  T         90.00 10uF 16V       
C1         CAP_CER_0805       334.646mil   3582.677mil    334.646mil   3582.677mil    334.646mil   3545.276mil  T         90.00 10uF 16V       
VR1        D2PAK              661.418mil   3506.398mil    661.418mil   3708.661mil    561.418mil   3304.134mil  T          0.00 LD1086-5V      
XTAL2      HC-49/US          1846.457mil   2127.953mil   1846.457mil   2127.953mil   1846.457mil   2314.961mil  T        270.00 8Mhz           
C3         CAP_CER_0805      1582.677mil    3421.26mil   1582.677mil    3421.26mil   1582.677mil   3458.661mil  T        270.00 10uf 50V       
C4         CAP_CER_0805       334.646mil    3421.26mil    334.646mil    3421.26mil    334.646mil   3458.661mil  T        270.00 10uf 50V       
VR2        D2PAK             1259.843mil   3506.398mil   1259.843mil   3708.661mil   1159.843mil   3304.134mil  T          0.00 LD1086-3V3     
JP4        HDR_FEMALE_1X16_2.54MM   2887.795mil   3811.024mil   2137.795mil   3811.024mil   2137.795mil   3811.024mil  T         90.00 HDR FEMALE 1x16 2.54MM

