Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C9         C0603                  61.6mm         3.2mm        61.6mm         3.2mm        61.6mm         3.8mm  T        270.00 4.7nF          
C8         C0603                  68.1mm         2.9mm        68.1mm         2.9mm        67.5mm         2.9mm  T        360.00 4.7pF          
C7         C0805                  54.1mm         3.6mm        54.1mm         3.6mm        54.1mm        4.55mm  T        270.00 100pF          
C6         C0603                  59.3mm         3.2mm        59.3mm         3.2mm        59.3mm         3.8mm  T        270.00 4.7pF          
C5         C0805                    39mm        14.3mm          39mm        14.3mm       39.95mm        14.3mm  T        180.00 10uF 16V       
C4         C0603                  34.2mm        14.1mm        34.2mm        14.1mm        34.8mm        14.1mm  T        180.00 100nF 35V      
C3         C0805                  28.9mm        14.3mm        28.9mm        14.3mm       29.85mm        14.3mm  T        180.00 10uF 16V       
C2         C0603                    24mm        14.1mm          24mm        14.1mm        24.6mm        14.1mm  T        180.00 100nF 35V      
C1         C0603                  21.2mm         3.6mm        21.2mm         3.6mm        21.2mm           3mm  T         90.00 1uF 35V        

